address_id,house_no,street,purok,barangay_id
63,H329,"Quezon Blvd.","Purok 8",18
64,H915,"Bonifacio Ave.","Purok 9",37
65,H797,"Del Pilar St.","Purok 4",3
66,H137,"Quezon Blvd.","Purok 5",23
67,H053,"Narra St.","Purok 7",4
68,H602,"Aguinaldo St.","Purok 6",27
69,H324,"Quezon Blvd.","Purok 9",5
70,H295,"Del Pilar St.","Purok 10",26
71,H903,"Rizal St.","Purok 5",14
72,H072,"Rizal St.","Purok 1",3
73,H011,"Del Pilar St.","Purok 10",19
74,H664,"Rizal St.","Purok 4",18
75,H634,"Quezon Blvd.","Purok 9",18
76,H164,"Mabini St.","Purok 10",3
77,H381,"Kalayaan Rd.","Purok 2",6
78,H153,"Del Pilar St.","Purok 4",11
79,H264,"Narra St.","Purok 9",33
80,H279,"Rizal St.","Purok 6",26
81,H718,"Quezon Blvd.","Purok 4",3
82,H801,"Del Pilar St.","Purok 5",9
83,H947,"Bonifacio Ave.","Purok 8",29
84,H218,"Mabini St.","Purok 9",1
85,H884,"Magallanes St.","Purok 9",6
86,H801,"Del Pilar St.","Purok 2",25
87,H408,"Aguinaldo St.","Purok 2",19
88,H211,"Rizal St.","Purok 7",44
89,H978,"Rizal St.","Purok 5",43
90,H586,"Del Pilar St.","Purok 10",31
91,H381,"Kalayaan Rd.","Purok 9",1
92,H880,"Aguinaldo St.","Purok 7",5
93,H889,"Magallanes St.","Purok 3",40
94,H756,"Aguinaldo St.","Purok 1",9
95,H329,"Lapu-Lapu Ave.","Purok 2",33
96,H093,"Aguinaldo St.","Purok 8",12
97,H608,"Bonifacio Ave.","Purok 9",38
98,H081,"Magallanes St.","Purok 5",22
99,H499,"Aguinaldo St.","Purok 10",18
100,H380,"Del Pilar St.","Purok 5",36
101,H086,"Del Pilar St.","Purok 3",12
102,H913,"Lapu-Lapu Ave.","Purok 7",10
103,H307,"Lapu-Lapu Ave.","Purok 5",23
104,H212,"Lapu-Lapu Ave.","Purok 6",22
105,H339,"Magallanes St.","Purok 8",10
106,H236,"Rizal St.","Purok 8",26
107,H692,"Rizal St.","Purok 2",24
108,H272,"Magallanes St.","Purok 9",4
109,H603,"Quezon Blvd.","Purok 9",14
110,H911,"Rizal St.","Purok 6",7
111,H519,"Mabini St.","Purok 5",30
112,H612,"Del Pilar St.","Purok 9",1
113,H779,"Kalayaan Rd.","Purok 10",24
114,H434,"Mabini St.","Purok 8",44
115,H593,"Lapu-Lapu Ave.","Purok 5",20
116,H424,"Del Pilar St.","Purok 6",40
117,H741,"Kalayaan Rd.","Purok 10",24
118,H434,"Aguinaldo St.","Purok 2",13
119,H916,"Quezon Blvd.","Purok 2",44
120,H927,"Quezon Blvd.","Purok 1",43
121,H568,"Del Pilar St.","Purok 9",23
122,H835,"Kalayaan Rd.","Purok 7",12
123,H355,"Del Pilar St.","Purok 7",33
124,H721,"Del Pilar St.","Purok 8",33
125,H255,"Kalayaan Rd.","Purok 7",10
126,H387,"Bonifacio Ave.","Purok 5",2
127,H639,"Rizal St.","Purok 6",26
128,H880,"Aguinaldo St.","Purok 7",27
129,H501,"Aguinaldo St.","Purok 10",29
130,H776,"Kalayaan Rd.","Purok 7",24
131,H572,"Narra St.","Purok 1",25
132,H083,"Aguinaldo St.","Purok 10",21
133,H302,"Bonifacio Ave.","Purok 10",41
134,H095,"Rizal St.","Purok 1",28
135,H961,"Quezon Blvd.","Purok 8",2
136,H572,"Rizal St.","Purok 4",22
137,H709,"Lapu-Lapu Ave.","Purok 3",5
138,H682,"Magallanes St.","Purok 8",30
139,H086,"Kalayaan Rd.","Purok 3",26
140,H622,"Mabini St.","Purok 6",36
141,H588,"Quezon Blvd.","Purok 1",20
142,H546,"Mabini St.","Purok 6",31
143,H735,"Aguinaldo St.","Purok 2",37
144,H525,"Mabini St.","Purok 6",27
145,H997,"Aguinaldo St.","Purok 4",39
146,H509,"Aguinaldo St.","Purok 8",8
147,H493,"Bonifacio Ave.","Purok 5",7
148,H104,"Quezon Blvd.","Purok 4",3
149,H838,"Mabini St.","Purok 7",6
150,H772,"Lapu-Lapu Ave.","Purok 9",42
151,H242,"Rizal St.","Purok 3",2
152,H429,"Narra St.","Purok 6",8
153,H804,"Del Pilar St.","Purok 5",28
154,H284,"Rizal St.","Purok 4",20
155,H706,"Quezon Blvd.","Purok 8",33
156,H916,"Aguinaldo St.","Purok 7",14
157,H262,"Narra St.","Purok 10",13
158,H772,"Kalayaan Rd.","Purok 9",28
159,H018,"Lapu-Lapu Ave.","Purok 10",42
160,H130,"Del Pilar St.","Purok 3",36
161,H638,"Bonifacio Ave.","Purok 10",31
162,H555,"Rizal St.","Purok 6",5
163,H580,"Mabini St.","Purok 7",25
164,H645,"Narra St.","Purok 10",22
165,H011,"Rizal St.","Purok 3",44
166,H188,"Del Pilar St.","Purok 4",28
167,H758,"Narra St.","Purok 7",8
168,H589,"Mabini St.","Purok 6",16
169,H570,"Lapu-Lapu Ave.","Purok 5",37
170,H062,"Narra St.","Purok 6",1
171,H636,"Magallanes St.","Purok 10",21
172,H349,"Lapu-Lapu Ave.","Purok 1",6
173,H327,"Lapu-Lapu Ave.","Purok 6",2
174,H926,"Narra St.","Purok 8",19
175,H962,"Narra St.","Purok 1",42
176,H443,"Kalayaan Rd.","Purok 1",23
177,H556,"Del Pilar St.","Purok 10",6
178,H710,"Narra St.","Purok 9",21
179,H402,"Bonifacio Ave.","Purok 7",44
180,H690,"Bonifacio Ave.","Purok 8",13
181,H292,"Mabini St.","Purok 5",4
182,H697,"Del Pilar St.","Purok 8",23
183,H387,"Bonifacio Ave.","Purok 7",9
184,H135,"Bonifacio Ave.","Purok 4",11
185,H903,"Lapu-Lapu Ave.","Purok 8",44
186,H516,"Magallanes St.","Purok 2",40
187,H255,"Aguinaldo St.","Purok 5",7
188,H895,"Lapu-Lapu Ave.","Purok 8",28
189,H600,"Magallanes St.","Purok 1",18
190,H195,"Mabini St.","Purok 9",6
191,H733,"Magallanes St.","Purok 7",29
192,H103,"Rizal St.","Purok 8",23
193,H510,"Aguinaldo St.","Purok 9",43
194,H873,"Rizal St.","Purok 6",14
195,H330,"Mabini St.","Purok 5",28
196,H773,"Bonifacio Ave.","Purok 5",35
197,H479,"Del Pilar St.","Purok 5",9
198,H467,"Narra St.","Purok 6",27
199,H352,"Quezon Blvd.","Purok 8",1
200,H847,"Magallanes St.","Purok 5",7
201,H995,"Aguinaldo St.","Purok 3",10
202,H741,"Rizal St.","Purok 3",16
203,H733,"Narra St.","Purok 8",1
204,H186,"Bonifacio Ave.","Purok 4",41
205,H556,"Kalayaan Rd.","Purok 7",25
206,H491,"Narra St.","Purok 1",37
207,H189,"Kalayaan Rd.","Purok 9",5
208,H869,"Bonifacio Ave.","Purok 1",32
209,H136,"Del Pilar St.","Purok 5",14
210,H107,"Aguinaldo St.","Purok 10",42
211,H356,"Kalayaan Rd.","Purok 1",28
212,H872,"Del Pilar St.","Purok 2",42
213,H774,"Mabini St.","Purok 10",38
214,H451,"Rizal St.","Purok 9",17
215,H766,"Lapu-Lapu Ave.","Purok 8",3
216,H780,"Lapu-Lapu Ave.","Purok 10",21
217,H417,"Del Pilar St.","Purok 7",27
218,H154,"Kalayaan Rd.","Purok 10",30
219,H896,"Lapu-Lapu Ave.","Purok 5",24
220,H784,"Quezon Blvd.","Purok 3",24
221,H788,"Magallanes St.","Purok 6",24
222,H585,"Quezon Blvd.","Purok 1",6
223,H822,"Mabini St.","Purok 1",23
224,H558,"Quezon Blvd.","Purok 3",23
225,H100,"Aguinaldo St.","Purok 2",4
226,H257,"Rizal St.","Purok 4",22
227,H027,"Rizal St.","Purok 4",10
228,H161,"Lapu-Lapu Ave.","Purok 9",31
229,H553,"Bonifacio Ave.","Purok 3",36
230,H760,"Narra St.","Purok 6",9
231,H520,"Del Pilar St.","Purok 2",11
232,H164,"Kalayaan Rd.","Purok 7",9
233,H661,"Lapu-Lapu Ave.","Purok 1",21
234,H844,"Kalayaan Rd.","Purok 6",11
235,H559,"Lapu-Lapu Ave.","Purok 4",21
236,H993,"Mabini St.","Purok 3",29
237,H087,"Bonifacio Ave.","Purok 7",6
238,H997,"Del Pilar St.","Purok 10",33
239,H711,"Quezon Blvd.","Purok 7",43
240,H713,"Lapu-Lapu Ave.","Purok 4",40
241,H374,"Aguinaldo St.","Purok 3",14
242,H329,"Magallanes St.","Purok 10",24
243,H796,"Mabini St.","Purok 8",10
244,H283,"Magallanes St.","Purok 8",27
245,H721,"Kalayaan Rd.","Purok 2",15
246,H526,"Del Pilar St.","Purok 1",23
247,H401,"Aguinaldo St.","Purok 10",12
248,H277,"Lapu-Lapu Ave.","Purok 4",42
249,H608,"Magallanes St.","Purok 9",13
250,H948,"Rizal St.","Purok 6",24
251,H776,"Narra St.","Purok 7",36
252,H366,"Del Pilar St.","Purok 5",13
253,H542,"Magallanes St.","Purok 2",43
254,H081,"Aguinaldo St.","Purok 2",20
255,H536,"Magallanes St.","Purok 10",1
256,H813,"Narra St.","Purok 5",39
257,H818,"Lapu-Lapu Ave.","Purok 10",36
258,H960,"Aguinaldo St.","Purok 4",16
259,H654,"Mabini St.","Purok 1",44
260,H138,"Lapu-Lapu Ave.","Purok 1",12
261,H594,"Magallanes St.","Purok 9",27
262,H553,"Narra St.","Purok 1",22
263,H951,"Del Pilar St.","Purok 1",40
264,H980,"Lapu-Lapu Ave.","Purok 2",44
265,H931,"Lapu-Lapu Ave.","Purok 7",9
266,H965,"Rizal St.","Purok 3",33
267,H667,"Magallanes St.","Purok 8",5
268,H107,"Lapu-Lapu Ave.","Purok 2",17
269,H451,"Del Pilar St.","Purok 4",40
270,H349,"Del Pilar St.","Purok 5",30
271,H678,"Magallanes St.","Purok 7",38
272,H692,"Narra St.","Purok 9",14
273,H166,"Kalayaan Rd.","Purok 6",10
274,H279,"Quezon Blvd.","Purok 1",40
275,H118,"Narra St.","Purok 4",42
276,H376,"Mabini St.","Purok 3",24
277,H397,"Narra St.","Purok 7",42
278,H246,"Kalayaan Rd.","Purok 3",21
279,H813,"Bonifacio Ave.","Purok 4",41
280,H283,"Mabini St.","Purok 2",22
281,H039,"Bonifacio Ave.","Purok 8",36
282,H726,"Del Pilar St.","Purok 7",22
283,H751,"Rizal St.","Purok 2",5
284,H760,"Kalayaan Rd.","Purok 8",1
285,H563,"Quezon Blvd.","Purok 9",11
286,H507,"Narra St.","Purok 5",35
287,H655,"Narra St.","Purok 8",11
288,H454,"Quezon Blvd.","Purok 5",23
289,H872,"Del Pilar St.","Purok 4",39
290,H612,"Magallanes St.","Purok 8",42
291,H505,"Bonifacio Ave.","Purok 4",17
292,H521,"Mabini St.","Purok 8",44
293,H214,"Kalayaan Rd.","Purok 6",20
294,H469,"Kalayaan Rd.","Purok 8",13
295,H567,"Kalayaan Rd.","Purok 6",21
296,H945,"Bonifacio Ave.","Purok 1",15
297,H237,"Rizal St.","Purok 6",3
298,H493,"Del Pilar St.","Purok 5",29
299,H488,"Kalayaan Rd.","Purok 9",17
300,H039,"Aguinaldo St.","Purok 1",16
301,H281,"Bonifacio Ave.","Purok 10",34
302,H515,"Mabini St.","Purok 6",18
303,H701,"Lapu-Lapu Ave.","Purok 10",4
304,H142,"Quezon Blvd.","Purok 4",33
305,H935,"Rizal St.","Purok 6",3
306,H251,"Bonifacio Ave.","Purok 2",37
307,H838,"Rizal St.","Purok 6",16
308,H967,"Magallanes St.","Purok 10",43
309,H197,"Narra St.","Purok 3",14
310,H198,"Bonifacio Ave.","Purok 2",14
311,H406,"Quezon Blvd.","Purok 6",30
312,H081,"Quezon Blvd.","Purok 7",26
313,H723,"Magallanes St.","Purok 6",6
314,H728,"Quezon Blvd.","Purok 8",24
315,H302,"Magallanes St.","Purok 8",34
316,H300,"Rizal St.","Purok 3",21
317,H544,"Magallanes St.","Purok 10",31
318,H588,"Aguinaldo St.","Purok 4",26
319,H281,"Magallanes St.","Purok 1",39
320,H218,"Rizal St.","Purok 7",31
321,H404,"Narra St.","Purok 4",14
322,H629,"Magallanes St.","Purok 7",16
323,H478,"Mabini St.","Purok 10",16
324,H677,"Lapu-Lapu Ave.","Purok 1",13
325,H561,"Del Pilar St.","Purok 3",36
326,H790,"Kalayaan Rd.","Purok 9",40
327,H430,"Narra St.","Purok 3",7
328,H147,"Mabini St.","Purok 1",6
329,H164,"Aguinaldo St.","Purok 6",42
330,H889,"Del Pilar St.","Purok 3",44
331,H619,"Del Pilar St.","Purok 9",2
332,H845,"Quezon Blvd.","Purok 10",28
333,H558,"Rizal St.","Purok 5",5
334,H122,"Del Pilar St.","Purok 4",41
335,H213,"Mabini St.","Purok 5",32
336,H355,"Quezon Blvd.","Purok 7",38
337,H621,"Rizal St.","Purok 2",33
338,H681,"Rizal St.","Purok 1",43
339,H060,"Mabini St.","Purok 1",1
340,H847,"Lapu-Lapu Ave.","Purok 8",4
341,H652,"Magallanes St.","Purok 9",43
342,H146,"Del Pilar St.","Purok 1",13
343,H989,"Bonifacio Ave.","Purok 10",23
344,H155,"Quezon Blvd.","Purok 6",19
345,H312,"Kalayaan Rd.","Purok 4",23
346,H173,"Mabini St.","Purok 8",28
347,H421,"Del Pilar St.","Purok 6",18
348,H356,"Magallanes St.","Purok 8",23
349,H264,"Bonifacio Ave.","Purok 10",13
350,H041,"Rizal St.","Purok 10",2
351,H698,"Rizal St.","Purok 1",37
352,H592,"Rizal St.","Purok 5",4
353,H526,"Narra St.","Purok 1",34
354,H566,"Narra St.","Purok 2",3
355,H485,"Lapu-Lapu Ave.","Purok 7",37
356,H244,"Quezon Blvd.","Purok 3",5
357,H570,"Bonifacio Ave.","Purok 2",29
358,H000,"Narra St.","Purok 9",37
359,H368,"Aguinaldo St.","Purok 1",26
360,H607,"Kalayaan Rd.","Purok 6",25
361,H611,"Magallanes St.","Purok 10",11
362,H912,"Mabini St.","Purok 7",22
363,H256,"Kalayaan Rd.","Purok 6",34
364,H787,"Del Pilar St.","Purok 5",16
365,H529,"Lapu-Lapu Ave.","Purok 5",31
366,H612,"Lapu-Lapu Ave.","Purok 6",6
367,H806,"Narra St.","Purok 6",18
368,H956,"Aguinaldo St.","Purok 6",37
369,H598,"Magallanes St.","Purok 10",32
370,H684,"Rizal St.","Purok 3",15
371,H357,"Quezon Blvd.","Purok 7",13
372,H308,"Rizal St.","Purok 4",2
373,H507,"Magallanes St.","Purok 2",22
374,H519,"Aguinaldo St.","Purok 6",30
375,H286,"Lapu-Lapu Ave.","Purok 5",3
376,H597,"Lapu-Lapu Ave.","Purok 6",40
377,H331,"Rizal St.","Purok 2",7
378,H733,"Lapu-Lapu Ave.","Purok 10",15
379,H712,"Bonifacio Ave.","Purok 5",27
380,H611,"Quezon Blvd.","Purok 9",8
381,H076,"Narra St.","Purok 7",19
382,H992,"Quezon Blvd.","Purok 8",43
383,H192,"Aguinaldo St.","Purok 7",41
384,H532,"Magallanes St.","Purok 3",21
385,H220,"Kalayaan Rd.","Purok 6",19
386,H336,"Del Pilar St.","Purok 7",3
387,H907,"Magallanes St.","Purok 3",4
388,H390,"Aguinaldo St.","Purok 1",9
389,H393,"Del Pilar St.","Purok 6",12
390,H504,"Narra St.","Purok 4",13
391,H094,"Kalayaan Rd.","Purok 2",27
392,H400,"Del Pilar St.","Purok 5",7
393,H112,"Kalayaan Rd.","Purok 2",17
394,H743,"Quezon Blvd.","Purok 5",39
395,H860,"Bonifacio Ave.","Purok 4",2
396,H354,"Mabini St.","Purok 3",43
397,H943,"Mabini St.","Purok 2",38
398,H501,"Bonifacio Ave.","Purok 2",17
399,H535,"Bonifacio Ave.","Purok 4",5
400,H086,"Magallanes St.","Purok 6",14
401,H216,"Narra St.","Purok 2",4
402,H986,"Magallanes St.","Purok 7",26
403,H644,"Del Pilar St.","Purok 8",27
404,H511,"Lapu-Lapu Ave.","Purok 5",14
405,H521,"Del Pilar St.","Purok 3",12
406,H653,"Magallanes St.","Purok 9",26
407,H962,"Del Pilar St.","Purok 8",39
408,H199,"Aguinaldo St.","Purok 9",35
409,H188,"Rizal St.","Purok 8",38
410,H174,"Bonifacio Ave.","Purok 2",21
411,H915,"Mabini St.","Purok 8",14
412,H406,"Magallanes St.","Purok 6",30
413,H763,"Del Pilar St.","Purok 3",29
414,H180,"Narra St.","Purok 4",34
415,H271,"Del Pilar St.","Purok 9",37
416,H195,"Magallanes St.","Purok 2",5
417,H455,"Narra St.","Purok 4",32
418,H476,"Quezon Blvd.","Purok 4",34
419,H289,"Rizal St.","Purok 7",30
420,H826,"Lapu-Lapu Ave.","Purok 9",43
421,H837,"Quezon Blvd.","Purok 2",9
422,H043,"Rizal St.","Purok 1",9
423,H792,"Aguinaldo St.","Purok 7",18
424,H817,"Mabini St.","Purok 6",30
425,H994,"Narra St.","Purok 10",37
426,H703,"Bonifacio Ave.","Purok 5",40
427,H574,"Bonifacio Ave.","Purok 9",33
428,H413,"Narra St.","Purok 3",8
429,H591,"Magallanes St.","Purok 3",28
430,H336,"Aguinaldo St.","Purok 1",14
431,H921,"Kalayaan Rd.","Purok 7",9
432,H218,"Lapu-Lapu Ave.","Purok 7",30
433,H691,"Aguinaldo St.","Purok 4",38
434,H617,"Del Pilar St.","Purok 8",10
435,H579,"Magallanes St.","Purok 9",29
436,H885,"Magallanes St.","Purok 3",31
437,H379,"Magallanes St.","Purok 7",39
438,H232,"Rizal St.","Purok 4",3
439,H311,"Bonifacio Ave.","Purok 8",26
440,H258,"Quezon Blvd.","Purok 10",12
441,H630,"Quezon Blvd.","Purok 7",5
442,H079,"Kalayaan Rd.","Purok 9",24
443,H147,"Magallanes St.","Purok 4",1
444,H897,"Mabini St.","Purok 6",16
445,H427,"Magallanes St.","Purok 5",23
446,H400,"Lapu-Lapu Ave.","Purok 9",8
447,H195,"Del Pilar St.","Purok 3",38
448,H652,"Del Pilar St.","Purok 10",15
449,H615,"Mabini St.","Purok 3",21
450,H001,"Lapu-Lapu Ave.","Purok 5",16
451,H389,"Aguinaldo St.","Purok 10",44
452,H883,"Rizal St.","Purok 9",24
453,H972,"Kalayaan Rd.","Purok 2",16
454,H190,"Quezon Blvd.","Purok 4",34
455,H097,"Mabini St.","Purok 10",37
456,H740,"Del Pilar St.","Purok 5",34
457,H069,"Bonifacio Ave.","Purok 7",12
458,H953,"Lapu-Lapu Ave.","Purok 3",28
459,H217,"Mabini St.","Purok 4",7
460,H730,"Bonifacio Ave.","Purok 4",33
461,H569,"Aguinaldo St.","Purok 3",34
462,H537,"Narra St.","Purok 3",6
463,H031,"Rizal St.","Purok 10",17
464,H928,"Magallanes St.","Purok 9",2
465,H333,"Rizal St.","Purok 3",25
466,H622,"Kalayaan Rd.","Purok 4",26
467,H051,"Magallanes St.","Purok 7",32
468,H810,"Bonifacio Ave.","Purok 3",15
469,H270,"Kalayaan Rd.","Purok 4",42
470,H114,"Narra St.","Purok 6",30
471,H497,"Aguinaldo St.","Purok 7",20
472,H556,"Lapu-Lapu Ave.","Purok 8",19
473,H389,"Magallanes St.","Purok 5",24
474,H675,"Mabini St.","Purok 5",41
475,H305,"Lapu-Lapu Ave.","Purok 5",9
476,H310,"Bonifacio Ave.","Purok 8",39
477,H025,"Bonifacio Ave.","Purok 7",21
478,H017,"Magallanes St.","Purok 7",20
479,H225,"Rizal St.","Purok 6",13
480,H487,"Kalayaan Rd.","Purok 7",7
481,H668,"Rizal St.","Purok 3",32
482,H617,"Bonifacio Ave.","Purok 8",35
483,H593,"Rizal St.","Purok 7",43
484,H597,"Bonifacio Ave.","Purok 9",31
485,H579,"Kalayaan Rd.","Purok 4",9
486,H026,"Rizal St.","Purok 3",17
487,H063,"Del Pilar St.","Purok 6",38
488,H967,"Mabini St.","Purok 6",29
489,H916,"Rizal St.","Purok 4",29
490,H040,"Lapu-Lapu Ave.","Purok 1",15
491,H402,"Aguinaldo St.","Purok 1",3
492,H130,"Kalayaan Rd.","Purok 1",2
493,H777,"Rizal St.","Purok 10",42
494,H225,"Del Pilar St.","Purok 9",35
495,H873,"Rizal St.","Purok 7",26
496,H266,"Mabini St.","Purok 4",42
497,H464,"Bonifacio Ave.","Purok 2",10
498,H842,"Aguinaldo St.","Purok 6",15
499,H629,"Rizal St.","Purok 6",25
500,H241,"Bonifacio Ave.","Purok 9",12
501,H857,"Lapu-Lapu Ave.","Purok 9",42
502,H282,"Rizal St.","Purok 4",12
503,H057,"Magallanes St.","Purok 7",34
504,H651,"Kalayaan Rd.","Purok 3",42
505,H374,"Mabini St.","Purok 4",22
506,H182,"Narra St.","Purok 2",5
507,H767,"Mabini St.","Purok 2",16
508,H241,"Del Pilar St.","Purok 3",9
509,H804,"Aguinaldo St.","Purok 8",42
510,H578,"Del Pilar St.","Purok 9",43
511,H782,"Aguinaldo St.","Purok 10",40
512,H936,"Del Pilar St.","Purok 1",24
513,H264,"Bonifacio Ave.","Purok 8",1
514,H127,"Del Pilar St.","Purok 6",42
515,H925,"Bonifacio Ave.","Purok 10",19
516,H185,"Bonifacio Ave.","Purok 2",13
517,H126,"Rizal St.","Purok 1",32
518,H466,"Kalayaan Rd.","Purok 1",44
519,H161,"Del Pilar St.","Purok 3",1
520,H985,"Narra St.","Purok 8",26
521,H036,"Lapu-Lapu Ave.","Purok 4",38
522,H383,"Magallanes St.","Purok 5",8
523,H968,"Mabini St.","Purok 2",15
524,H738,"Mabini St.","Purok 1",10
525,H592,"Aguinaldo St.","Purok 4",25
526,H135,"Del Pilar St.","Purok 4",8
527,H315,"Lapu-Lapu Ave.","Purok 6",34
528,H492,"Lapu-Lapu Ave.","Purok 8",21
529,H827,"Quezon Blvd.","Purok 4",27
530,H337,"Bonifacio Ave.","Purok 7",11
531,H996,"Rizal St.","Purok 5",38
532,H752,"Rizal St.","Purok 9",39
533,H659,"Kalayaan Rd.","Purok 5",24
534,H541,"Lapu-Lapu Ave.","Purok 6",2
535,H218,"Mabini St.","Purok 5",27
536,H499,"Lapu-Lapu Ave.","Purok 8",20
537,H237,"Rizal St.","Purok 5",26
538,H885,"Lapu-Lapu Ave.","Purok 4",44
539,H743,"Quezon Blvd.","Purok 5",37
540,H558,"Narra St.","Purok 9",36
541,H227,"Lapu-Lapu Ave.","Purok 8",17
542,H218,"Mabini St.","Purok 8",8
543,H153,"Narra St.","Purok 2",35
544,H760,"Lapu-Lapu Ave.","Purok 10",1
545,H775,"Lapu-Lapu Ave.","Purok 9",25
546,H591,"Lapu-Lapu Ave.","Purok 3",15
547,H620,"Mabini St.","Purok 2",16
548,H912,"Magallanes St.","Purok 9",25
549,H155,"Magallanes St.","Purok 5",34
550,H988,"Aguinaldo St.","Purok 2",19
551,H015,"Del Pilar St.","Purok 7",23
552,H055,"Lapu-Lapu Ave.","Purok 10",3
553,H813,"Magallanes St.","Purok 4",31
554,H135,"Rizal St.","Purok 8",12
555,H980,"Del Pilar St.","Purok 1",4
556,H287,"Del Pilar St.","Purok 8",41
557,H472,"Lapu-Lapu Ave.","Purok 8",16
558,H625,"Kalayaan Rd.","Purok 4",30
559,H508,"Quezon Blvd.","Purok 2",23
560,H423,"Lapu-Lapu Ave.","Purok 1",39
561,H993,"Kalayaan Rd.","Purok 1",42
562,H434,"Bonifacio Ave.","Purok 3",29
563,H928,"Bonifacio Ave.","Purok 8",27
564,H100,"Magallanes St.","Purok 6",11
565,H185,"Narra St.","Purok 1",1
566,H835,"Del Pilar St.","Purok 5",37
567,H934,"Bonifacio Ave.","Purok 2",21
568,H706,"Lapu-Lapu Ave.","Purok 4",33
569,H641,"Lapu-Lapu Ave.","Purok 3",1
570,H788,"Del Pilar St.","Purok 5",35
571,H101,"Del Pilar St.","Purok 3",39
572,H893,"Magallanes St.","Purok 4",37
573,H025,"Quezon Blvd.","Purok 9",12
574,H155,"Kalayaan Rd.","Purok 10",6
575,H928,"Rizal St.","Purok 7",4
576,H026,"Mabini St.","Purok 2",42
577,H426,"Aguinaldo St.","Purok 8",10
578,H237,"Bonifacio Ave.","Purok 2",16
579,H887,"Magallanes St.","Purok 9",15
580,H184,"Del Pilar St.","Purok 3",27
581,H416,"Mabini St.","Purok 1",15
582,H939,"Magallanes St.","Purok 1",23
583,H787,"Magallanes St.","Purok 5",17
584,H119,"Rizal St.","Purok 1",3
585,H000,"Narra St.","Purok 7",28
586,H622,"Del Pilar St.","Purok 1",6
587,H695,"Narra St.","Purok 8",10
588,H517,"Aguinaldo St.","Purok 8",28
589,H052,"Narra St.","Purok 5",36
590,H329,"Lapu-Lapu Ave.","Purok 4",22
591,H094,"Del Pilar St.","Purok 7",25
592,H587,"Bonifacio Ave.","Purok 8",3
593,H170,"Bonifacio Ave.","Purok 1",44
594,H751,"Magallanes St.","Purok 5",7
595,H564,"Aguinaldo St.","Purok 5",15
596,H561,"Rizal St.","Purok 7",36
597,H781,"Mabini St.","Purok 1",30
598,H049,"Narra St.","Purok 8",30
